Alor Setar,6,7,0,100,22,0,1,1,8,0,0,1010,10,60,0.0065
George Town,5,25,0,100,19,0,1,1,8,0,0,1010,10,60,0.0065
Ipoh,4,35,0,101,4,0,1,1,8,0,0,1010,10,60,0.0065
Johore Bahru,1,38,0,103,40,0,1,1,8,0,0,1010,10,60,0.0065
Kangar,6,26,0,100,12,0,1,1,8,0,0,1010,10,60,0.0065
Klang,3,2,0,101,26,0,1,1,8,0,0,1010,10,60,0.0065
Kota Bharu,6,8,0,102,14,0,1,1,8,0,0,1010,10,60,0.0065
Kota Kinabalu,5,58,0,116,4,0,1,1,8,0,0,1010,10,60,0.0065
Kuala Lumpur,3,8,20,101,41,13,1,1,8,10,0,1010,10,60,0.0065
Kuala Terengganu,5,19,0,103,8,0,1,1,8,0,0,1010,10,60,0.0065
Kuantan,3,48,0,103,19,0,1,1,8,0,0,1010,10,60,0.0065
Kuching,1,29,0,110,20,0,1,1,8,0,0,1010,10,60,0.0065
Labuan,5,16,0,115,15,0,1,1,8,0,0,1010,10,60,0.0065
Melaka City,2,11,0,102,15,0,1,1,8,0,0,1010,10,60,0.0065
Miri,4,27,0,114,0,0,1,1,8,0,0,1010,10,60,0.0065
Penang,5,17,0,100,16,0,1,1,8,0,0,1010,10,60,0.0065
Petaling Jaya,3,6,0,101,38,0,1,1,8,0,0,1010,10,60,0.0065
Putrajaya,2,55,0,101,41,0,1,1,8,0,0,1010,10,60,0.0065
Sandakan,5,54,0,118,4,0,1,1,8,0,0,1010,10,60,0.0065
Seremban,2,43,0,101,56,0,1,1,8,0,0,1010,10,60,0.0065
Shah Alam,3,4,0,101,32,0,1,1,8,0,0,1010,10,60,0.0065
Taiping,4,51,0,100,44,0,1,1,8,0,0,1010,10,60,0.0065
Tawau,4,15,0,117,53,0,1,1,8,0,0,1010,10,60,0.0065
